日期,推广计划名称,宝贝名称,宝贝类型,商品id,搜索类型,流量来源,展现量,点击量,花费(分),点击率,平均点击花费(分),千次展现花费(分),点击转化率,直接成交金额(分),直接成交笔数,间接成交金额(分),间接成交笔数,总成交金额(分),总成交笔数,宝贝收藏数,店铺收藏数,总收藏数,投入产出比,直接购物车数,间接购物车数,总购物车数
2019-05-06,牡蛎【长尾词】03-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,定向投放,计算机站内,1,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-05-06,牡蛎【长尾词】03-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,计算机站外,7,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-05-06,牡蛎【长尾词】03-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,移动站内,6260,493,113276,7.88,229.77,18095.21,2.84,267094,13,11633,1,278727,14,9,0,9,2.46,26,1,27
2019-05-06,牡蛎【长尾词】03-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,移动站外,48,2,71,4.17,35.50,1479.17,,,,,,,,,,,,,,
2019-05-06,牡蛎【长尾词】07-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,计算机站内,3,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-05-06,牡蛎【长尾词】07-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,移动站内,9124,719,268010,7.88,372.75,29374.18,5.29,616481,31,45406,7,661887,38,19,2,21,2.47,51,1,52
2019-05-06,牡蛎【长尾词】08-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,计算机站内,1664,19,4911,1.14,258.47,2951.32,0.00,0,0,0,0,0,0,0,0,0,0.00,3,0,3
2019-05-06,牡蛎【长尾词】08-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,定向投放,计算机站内,422,1,0,0.24,0.00,0.00,,,,,,,,,,,,,,
2019-05-06,牡蛎【长尾词】08-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,计算机站外,3,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-05-06,牡蛎【长尾词】08-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,移动站内,2953,155,35024,5.25,225.96,11860.48,5.16,139200,8,0,0,139200,8,1,0,1,3.97,8,0,8
